,,Depth (cm),,,,,,,,,,,,,,,,,
,Leishmania,3,0,5,11,2,0,4,1,0,10,7,3,1,1,10,4,1,4
,Leishmania <subgenus>,6,0,84,78,14,16,40,17,0,40,27,22,12,20,11,24,15,35
,Leishmania donovani species complex,0,0,20,27,0,6,6,5,0,22,13,6,0,8,7,16,6,20
,Leishmania donovani,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Leishmania major species complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leishmania major,0,0,9,37,0,0,0,0,0,18,13,8,5,10,7,7,0,26
,Leishmania mexicana species complex,7,0,14,25,5,7,1,0,0,13,12,8,2,10,9,5,0,7
,Leishmania amazonensis,0,0,0,9,0,5,12,0,0,12,0,6,6,0,0,0,0,6
,Leishmania mexicana,0,0,8,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5
,Viannia,0,0,23,25,7,5,18,10,12,19,10,4,7,10,10,7,9,15
,Leishmania braziliensis species complex,0,0,5,5,0,0,0,0,0,13,0,5,0,5,6,0,0,3
,Leishmania braziliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,Leptomonas,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0
,Leptomonas pyrrhocoris,0,0,49,103,14,16,14,9,0,43,27,15,10,28,28,31,8,44
,Lotmaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lotmaria passim,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Strigomonadinae,0,0,4,0,0,0,0,0,0,3,5,3,0,2,1,2,1,3
,Angomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angomonas deanei,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Strigomonas,0,0,9,12,0,0,8,0,0,10,13,2,5,5,4,3,10,2
,Strigomonas culicis,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0
,Strigomonas galati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Strigomonas oncopelti,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,12,0,6
,Trypanosoma,8,0,10,7,5,20,7,2,1,8,15,20,4,6,11,18,9,16
,Duttonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trypanosoma vivax,0,0,0,9,0,0,0,5,5,6,8,0,5,8,0,7,0,7
,Herpetosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trypanosoma rangeli,0,0,17,36,0,0,7,0,0,0,5,5,0,13,0,0,0,12
,Nannomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trypanosoma congolense,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Schizotrypanum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,Trypanosoma cruzi,0,0,24,29,5,7,11,6,0,39,28,7,14,32,22,28,33,142
,Trypanosoma with unspecified subgenus,0,0,11,8,7,3,3,4,0,6,0,9,0,0,3,4,0,5
,Trypanosoma conorhini,0,0,30,25,9,7,25,17,5,37,24,23,18,10,13,21,7,13
,Trypanosoma grayi,0,0,7,14,0,9,9,0,0,38,25,9,14,14,22,33,14,43
,Trypanosoma theileri,0,0,13,18,0,12,0,7,6,30,19,5,8,20,18,14,13,48
,Trypanozoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trypanosoma brucei,0,0,23,58,0,11,9,0,0,23,9,13,6,11,11,13,13,22
,unclassified Trypanosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trypanosoma sp.,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fornicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diplomonadida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hexamitidae,0,0,2,3,5,5,1,0,0,4,1,0,0,4,1,1,3,2
,Giardiinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Giardia,0,0,3,3,0,0,1,0,0,3,6,0,0,0,3,1,4,8
,Giardia intestinalis,0,0,14,8,0,5,15,0,0,12,7,0,6,11,6,12,5,23
,unclassified Giardia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Giardia sp.,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5
,Glaucocystophyceae,0,0,1,5,5,5,0,0,0,6,5,6,0,0,2,1,0,2
,Cyanophoraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyanophora,0,0,2,7,0,0,0,0,0,2,0,0,0,0,2,0,0,1
,Cyanophora paradoxa,0,0,5,0,0,0,0,0,0,6,0,0,0,0,5,5,0,9
,Haptista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haptophyta,0,0,8,5,2,9,2,0,1,4,10,1,0,7,2,2,7,11
,Prymnesiophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coccolithales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
,Isochrysidales,0,0,1,2,4,0,1,1,0,0,0,5,1,0,0,2,3,0
,Isochrysidaceae,0,0,4,0,0,7,0,0,0,0,4,0,0,2,6,0,0,1
,Isochrysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Isochrysis galbana,0,0,9,13,0,0,0,0,0,9,7,0,0,0,0,0,0,0
,Tisochrysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tisochrysis lutea,0,0,0,15,0,10,0,0,0,5,14,0,0,6,0,8,0,19
,Noelaerhabdaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emiliania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emiliania huxleyi,9,0,201,261,61,56,157,45,21,330,192,119,84,106,136,147,80,233
,Phaeocystales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeocystaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Phaeocystis antarctica,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
,Prymnesiales,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Chrysochromulinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysochromulina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
,Heterolobosea,0,0,2,1,0,0,1,0,0,1,4,6,6,2,1,1,0,2
,Schizopyrenida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Tetramitia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eutetramitia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vahlkampfiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Naegleria,0,0,1,0,0,0,0,0,0,2,3,0,0,2,0,0,0,3
,Naegleria gruberi,0,0,16,47,0,9,5,0,0,26,23,7,0,14,5,6,16,32
,Jakobida,0,0,2,0,0,0,0,0,0,7,9,0,0,9,5,1,0,1
,Histionina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Histionidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
,Histiona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Histiona aroides,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Reclinomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Reclinomonas americana,0,0,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,14
,Opisthokonta,152,9,946,1223,269,277,454,386,290,1056,755,458,315,685,507,732,402,1358
,Choanoflagellata,2,0,2,1,1,3,0,0,0,0,1,0,5,1,0,0,5,0
,Craspedida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salpingoecidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Monosiga,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Monosiga brevicollis,0,0,26,51,7,14,12,12,25,23,16,18,27,28,24,38,8,45
,Salpingoeca,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Salpingoeca rosetta,7,0,106,151,54,38,110,32,24,123,58,59,52,71,54,62,50,109
,Fungi,10,3,50,30,12,12,12,15,8,112,76,48,10,40,15,18,14,36
,Dikarya,8,8,109,228,31,54,65,28,16,247,191,115,80,153,113,151,93,297
,Ascomycota,4,1,4,8,2,2,1,1,2,41,22,8,2,7,2,1,1,4
,saccharomyceta,4,7,28,38,6,7,7,11,13,54,30,11,8,23,17,24,7,60
,Pezizomycotina,6,0,7,7,5,3,5,8,4,8,7,5,0,1,3,4,3,5
,leotiomyceta,11,1,216,184,30,57,76,56,20,493,342,150,53,179,118,114,88,281
,dothideomyceta,0,0,1,1,0,1,1,1,0,5,4,1,0,1,1,0,0,0
,Dothideomycetes,5,3,12,1,2,1,1,0,8,28,29,8,3,11,1,0,4,2
,Dothideomycetes incertae sedis,0,0,1,0,4,6,0,7,0,0,2,0,0,0,3,0,0,0
,Botryosphaeriales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Botryosphaeriaceae,0,0,0,0,1,0,3,0,0,2,8,4,3,3,2,2,1,4
,Diplodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diplodia corticola,0,0,79,100,11,18,68,18,8,94,70,46,29,37,25,43,17,59
,Lasiodiplodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Lasiodiplodia gonubiensis,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coniosporium <Dothideomycetes incertae sedis>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coniosporium apollinis,0,0,15,34,0,13,5,0,0,41,19,16,17,25,6,14,11,63
,Venturiales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sympoventuriaceae,0,0,0,5,0,2,0,0,1,1,0,5,2,0,3,11,0,3
,Verruconis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Verruconis gallopava,0,0,12,13,0,0,5,0,0,28,19,0,0,9,0,0,5,0
,Venturiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Venturia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Venturia effusa,0,0,12,11,0,7,8,13,6,36,21,17,7,35,12,44,10,66
,Dothideomycetidae,0,0,3,0,5,1,0,7,4,3,0,1,0,4,2,3,1,0
,Capnodiales,1,0,7,1,0,4,0,3,2,1,9,7,5,5,4,5,0,4
,Cladosporiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cladosporium,0,0,5,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0
,Mycosphaerellaceae,1,0,12,11,9,17,4,7,9,5,4,15,11,1,8,8,4,6
,Cercospora,0,0,1,4,0,0,8,6,0,5,3,12,0,3,8,1,6,4
,Cercospora beticola,5,0,11,19,0,0,0,0,0,18,13,0,0,6,0,0,0,6
,Cercospora sojina,0,0,16,10,0,0,0,0,0,23,20,0,0,7,0,5,0,23
,Pseudocercospora,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudocercospora fijiensis,0,0,14,10,5,0,9,0,0,40,11,0,0,11,5,5,0,13
,Ramularia,0,0,2,1,0,2,0,0,0,3,1,0,7,3,0,1,0,1
,Ramularia collo-cygni,0,0,13,18,0,7,0,0,0,17,10,0,0,5,5,8,0,9
,Sphaerulina,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
,Sphaerulina musiva,0,0,22,30,0,7,6,0,0,29,16,5,0,8,0,5,9,33
,Zymoseptoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zymoseptoria tritici,5,0,12,16,0,0,5,0,0,36,18,7,6,15,9,10,29,138
,Teratosphaeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Baudoinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Baudoinia panamericana,0,0,10,18,6,5,8,0,0,28,11,0,8,9,11,17,11,34
,Dothideales,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
,Saccotheciaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aureobasidium,3,0,13,8,8,7,0,3,0,7,3,2,0,2,3,4,3,5
,Aureobasidium namibiae,0,0,12,19,0,0,8,6,0,38,22,18,6,29,8,15,9,38
,Aureobasidium pullulans,5,0,13,40,0,0,11,0,0,42,12,7,5,13,0,5,8,12
,Aureobasidium subglaciale,7,0,19,30,0,0,8,0,0,15,12,8,7,13,6,9,0,15
,Pleosporomycetidae,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,Pleosporales,0,1,1,1,1,2,1,0,3,18,28,3,5,8,2,0,0,0
,Massarineae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Didymosphaeriaceae,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,Paraphaeosphaeria,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0
,Paraphaeosphaeria minitans,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,5,0,8
,Paraphaeosphaeria sporulosa,0,0,17,23,0,7,12,5,0,50,42,32,17,20,13,19,8,24
,Pleosporineae,3,0,20,13,10,8,10,12,9,64,85,31,6,28,13,14,18,31
,Didymellaceae,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,Leptosphaeriaceae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
,Leptosphaeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leptosphaeria maculans species complex,0,0,28,15,7,5,8,4,0,32,36,18,6,4,12,8,10,12
,Leptosphaeria biglobosa,0,0,29,55,7,19,12,10,0,134,75,43,20,40,18,25,18,64
,Leptosphaeria maculans,0,0,6,20,0,5,0,0,0,36,33,8,0,9,10,13,0,15
,Phaeosphaeriaceae,0,0,0,0,0,1,0,0,0,3,5,0,0,2,0,0,0,0
,Parastagonospora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Parastagonospora nodorum,0,0,18,66,8,11,17,0,0,140,157,41,13,32,16,26,18,60
,Pleosporaceae,5,0,5,7,0,12,3,8,3,28,26,12,1,5,4,6,5,7
,Alternaria,28,7,13,47,7,6,11,6,4,151,45,60,3,12,62,34,6,14
,Alternaria sect. Alternaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alternaria alternata complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alternaria alternata,9,0,0,9,0,0,0,0,7,79,0,35,0,0,35,22,0,10
,Alternaria arborescens,5,0,0,0,0,0,0,0,0,13,0,0,0,0,8,7,0,0
,Alternaria sect. Porri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alternaria solani,0,0,10,32,0,20,6,0,0,90,54,13,15,25,27,27,16,44
,Bipolaris,0,0,24,23,2,8,11,6,5,48,47,18,8,21,18,22,9,24
,Bipolaris maydis,0,0,20,23,6,6,12,8,0,19,25,7,0,12,18,39,6,73
,Bipolaris oryzae,0,0,5,18,0,7,0,0,0,22,29,7,5,19,11,15,7,33
,Bipolaris sorokiniana,0,0,8,9,0,0,0,0,0,15,9,0,0,0,0,0,0,13
,Bipolaris victoriae,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
,Bipolaris zeicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
,Exserohilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Exserohilum turcicum,0,0,13,27,0,0,0,0,0,41,23,6,12,12,13,5,9,16
,Pyrenophora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Pyrenophora tritici-repentis,0,0,10,8,0,0,0,0,0,42,38,13,0,16,9,14,0,25
,Eurotiomycetes,3,1,5,3,1,1,1,0,0,14,16,3,2,4,1,6,0,6
,Chaetothyriomycetidae,0,0,2,3,1,5,0,2,0,0,2,1,0,3,4,4,4,0
,Chaetothyriales,2,0,0,0,4,0,0,0,4,1,1,0,1,1,2,0,3,3
,Cyphellophoraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyphellophora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Cyphellophora europaea,0,0,40,40,0,13,17,5,0,33,25,21,5,16,5,16,0,10
,Herpotrichiellaceae,2,0,7,13,9,11,2,14,8,11,12,8,14,13,6,9,11,7
,Capronia,5,0,0,2,0,3,4,5,0,2,6,4,3,0,4,6,3,0
,Capronia coronata,0,0,20,14,0,0,0,0,0,24,15,0,0,11,5,11,0,17
,Capronia epimyces,0,0,8,13,0,9,5,0,0,44,15,28,17,21,17,16,24,49
,Cladophialophora,0,0,45,36,7,25,21,14,7,30,26,16,9,36,29,38,21,45
,Cladophialophora bantiana,0,0,0,7,0,0,0,0,0,15,5,5,0,0,0,0,0,0
,Cladophialophora carrionii,0,0,0,15,0,7,15,10,12,55,37,39,32,54,34,74,56,160
,Cladophialophora immunda,0,0,20,32,0,10,14,0,0,34,29,11,11,20,36,43,11,69
,Cladophialophora psammophila,0,0,36,33,0,0,9,0,5,33,16,7,0,18,29,65,49,168
,Cladophialophora yegresii,0,0,6,9,5,0,0,0,0,15,20,0,0,0,0,9,5,13
,Exophiala,5,0,13,13,20,24,9,7,12,5,5,19,11,7,10,17,7,15
,Exophiala aquamarina,0,0,0,22,0,0,0,0,0,23,5,0,14,10,0,10,0,17
,Exophiala dermatitidis,0,0,30,26,0,7,12,0,0,29,26,7,14,28,11,10,12,53
,Exophiala lecanii-corni,0,0,20,53,9,32,12,8,0,37,24,11,5,27,19,17,13,60
,Exophiala mesophila,0,0,16,16,0,6,6,0,0,38,17,12,0,9,6,8,6,11
,Exophiala oligosperma,0,0,15,24,0,0,0,0,0,60,20,93,19,26,18,12,8,24
,Exophiala spinifera,0,0,9,18,0,0,0,0,0,37,22,0,0,18,5,9,7,55
,Exophiala xenobiotica,0,0,41,55,0,0,38,11,7,33,25,18,0,17,24,22,8,40
,Fonsecaea,8,0,20,61,4,24,27,11,6,33,24,12,13,17,36,46,17,57
,Fonsecaea erecta,0,0,20,20,0,0,0,0,0,36,34,14,7,14,0,10,8,26
,Fonsecaea monophora,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,Fonsecaea multimorphosa,0,0,35,56,9,6,0,0,0,35,19,20,19,35,9,13,25,47
,Fonsecaea nubica,0,0,7,14,0,0,0,0,0,16,5,0,0,5,0,0,0,9
,Fonsecaea pedrosoi,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
,Rhinocladiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhinocladiella mackenziei,0,0,6,11,0,0,6,0,0,35,18,0,0,5,0,11,0,30
,Verrucariales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Verrucariaceae,0,0,2,0,0,0,0,0,0,4,4,0,0,1,0,0,0,1
,Endocarpon,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
,Endocarpon pusillum,0,0,28,15,14,0,7,0,0,27,22,24,13,30,0,7,14,48
,Eurotiomycetidae,2,0,1,1,1,1,8,1,0,9,8,6,1,20,12,24,22,128
,Eurotiales,4,3,9,15,14,12,11,7,6,29,10,28,19,27,14,31,25,39
,Aspergillaceae,6,0,30,65,13,18,8,13,7,34,27,22,19,14,11,10,8,40
,Aspergillus,35,6,159,242,66,113,77,51,42,202,155,152,76,119,94,125,88,160
,Aspergillus aculeatinus,0,0,9,18,0,0,8,0,0,13,10,0,0,10,0,17,19,93
,Aspergillus aculeatus,0,0,14,23,0,0,0,0,0,8,0,0,6,8,7,11,0,12
,Aspergillus bombycis,0,0,9,15,0,0,0,0,0,15,6,0,7,12,14,16,6,20
,Aspergillus brunneoviolaceus,0,0,17,26,0,0,0,0,0,26,18,6,5,7,8,11,7,10
,Aspergillus campestris,0,0,28,26,7,0,9,5,0,21,12,9,8,14,0,16,10,13
,Aspergillus candidus,6,0,15,20,6,0,9,0,0,12,12,8,0,8,0,0,0,9
,Aspergillus clavatus,0,0,23,31,0,5,6,0,0,25,20,15,14,15,9,6,8,24
,Aspergillus eucalypticola,0,0,6,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0
,Aspergillus fischeri,0,0,0,0,0,7,0,0,0,14,0,0,0,6,13,15,13,58
,Aspergillus fumigatus,0,0,21,10,0,0,15,0,0,10,0,0,0,9,0,0,0,8
,Aspergillus glaucus,0,0,23,17,0,10,8,0,0,31,22,6,0,16,8,7,0,18
,Aspergillus heteromorphus,0,0,23,127,6,24,15,7,0,72,42,34,19,47,75,61,23,195
,Aspergillus homomorphus,0,0,9,42,0,17,9,6,0,34,11,0,5,12,0,9,0,12
,Aspergillus neoniger,0,0,8,13,0,6,0,0,0,13,14,0,0,7,14,8,0,12
,Aspergillus nidulans,0,0,14,13,0,0,5,0,0,12,7,13,0,13,9,8,8,12
,Aspergillus niger,0,0,12,14,0,5,0,0,0,21,11,5,0,10,11,30,5,33
,Aspergillus novofumigatus,0,0,11,14,0,0,0,0,0,12,5,0,0,12,5,0,12,22
,Aspergillus oryzae,0,12,17,35,0,0,5,0,0,14,12,0,11,11,5,14,15,40
,Aspergillus saccharolyticus,0,0,20,13,0,0,0,0,0,11,19,5,8,9,7,7,6,15
,Aspergillus sclerotioniger,0,0,17,34,5,0,10,0,0,31,20,13,17,14,17,15,9,24
,Aspergillus steynii,0,0,37,67,5,16,13,9,12,35,24,7,9,22,13,15,10,39
,Aspergillus terreus,0,0,26,37,0,13,0,0,0,45,19,7,0,18,7,13,12,24
,Aspergillus thermomutatus,0,0,12,18,0,0,0,0,0,12,6,0,0,12,0,5,0,7
,Aspergillus uvarum,0,0,8,8,5,5,11,8,0,30,12,8,0,11,0,9,0,11
,Aspergillus vadensis,0,0,0,35,0,5,0,0,0,0,7,0,0,0,0,0,0,13
,Neosartorya,0,0,2,3,0,4,5,0,0,1,4,0,6,2,5,1,2,2
,Penicilliopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Penicilliopsis zonata,7,0,32,22,0,6,15,11,0,49,11,22,11,21,18,17,12,24
,Penicillium,0,0,7,14,7,42,7,0,0,15,14,14,5,20,12,5,4,9
,Penicillium chrysogenum species complex,0,0,0,2,0,11,0,0,0,2,1,0,0,10,0,0,1,1
,Penicillium rubens,0,0,17,31,0,633,5,0,0,60,50,5,5,324,8,15,64,16
,Penicillium digitatum,0,0,8,18,0,0,7,0,0,7,5,0,0,8,0,0,0,8
,Penicillium expansum,0,0,20,37,0,0,0,0,0,27,11,0,0,7,0,11,6,17
,Thermoascaceae,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Byssochlamys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Byssochlamys spectabilis,0,0,12,24,8,0,5,0,0,24,13,0,0,7,0,15,6,17
,Trichocomaceae,0,0,5,3,0,2,0,0,1,2,0,4,0,1,2,1,0,0
,Rasamsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rasamsonia emersonii,0,0,24,21,6,14,18,10,0,42,35,10,11,23,14,24,14,44
,Talaromyces,5,0,20,45,9,25,11,13,0,9,28,13,12,27,15,14,13,54
,Talaromyces atroroseus,0,0,0,5,0,0,0,0,6,17,15,10,0,6,0,7,0,6
,Talaromyces funiculosus,0,0,6,30,0,0,7,0,8,23,21,5,0,23,11,21,14,27
,Talaromyces marneffei,0,0,12,55,0,5,0,0,0,12,23,0,0,10,6,10,0,11
,Talaromyces pinophilus,0,0,0,12,0,0,11,8,11,15,7,0,0,0,7,7,6,16
,Talaromyces stipitatus,0,0,6,8,0,0,6,0,0,9,0,0,0,8,5,9,6,7
,Onygenales,4,0,5,2,1,9,1,6,7,2,3,2,5,4,3,4,5,3
,Ajellomycetaceae,0,0,4,1,6,1,0,2,0,0,0,4,0,0,0,4,2,3
,Blastomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Blastomyces gilchristii,0,0,46,68,0,9,8,5,6,26,18,15,0,20,5,22,8,74
,Histoplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Histoplasma capsulatum,0,0,0,6,0,0,5,0,0,10,11,0,0,7,8,0,0,20
,Arthrodermataceae,4,0,11,12,7,15,4,2,8,8,6,12,0,2,12,12,1,13
,Arthroderma,0,0,3,3,0,5,0,1,0,1,3,0,0,1,6,0,7,0
,Microsporum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Microsporum canis,8,0,65,36,5,0,33,9,14,26,16,10,6,11,0,9,0,9
,Nannizzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nannizzia gypsea,0,0,35,73,6,0,15,7,0,24,30,19,13,21,6,16,16,55
,Trichophyton,0,0,7,9,7,0,8,0,0,11,5,0,0,9,6,7,7,21
,Trichophyton benhamiae,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,15
,Trichophyton verrucosum,0,0,0,0,0,0,0,0,0,5,0,0,15,12,0,0,0,10
,Onygenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uncinocarpus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uncinocarpus reesii,0,0,42,52,0,0,0,0,0,10,6,0,0,0,7,16,0,25
,Onygenales incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysosporium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysosporium queenslandicum,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,Coccidioides,0,0,9,4,0,2,8,8,0,9,10,17,0,7,1,12,6,50
,Coccidioides posadasii,0,0,13,16,0,6,0,0,0,8,5,0,5,12,11,0,5,27
,Paracoccidioides,0,0,6,7,2,1,0,7,0,5,9,0,1,1,3,2,1,5
,Paracoccidioides brasiliensis,0,0,9,9,0,0,0,0,0,10,6,0,0,0,0,0,0,8
,Paracoccidioides lutzii,0,0,25,70,9,9,16,0,0,34,30,0,8,9,33,47,32,102
,Sclerococcomycetidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sclerococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dactylosporaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sclerococcum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sclerococcum haliotrephum,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lecanoromycetes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,OSLEUM clade,0,0,1,2,0,3,1,0,0,0,3,1,0,0,0,0,0,1
,Lecanoromycetidae,0,0,1,4,0,1,0,0,0,6,5,5,0,0,0,3,0,2
,Lecanorales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
