,,Depth (cm),,,,,,,,,,,
,Paenibacillus beijingensis,40,37,0,0,16,168,32,17,0,14,0,9
,Paenibacillus borealis,10,14,0,0,34,67,7,0,0,8,0,18
,Paenibacillus bovis,5,17,0,0,5,57,14,16,0,40,6,7
,Paenibacillus chitinolyticus,21,27,0,0,6,31,5,12,0,0,0,0
,Paenibacillus donghaensis,26,34,0,6,13,137,9,17,0,0,26,72
,Paenibacillus durus,30,65,0,8,18,136,18,27,0,7,10,17
,Paenibacillus glucanolyticus,24,22,0,0,10,82,10,5,0,5,0,0
,Paenibacillus graminis,11,18,0,0,15,57,0,0,0,0,5,0
,Paenibacillus kribbensis,6,28,0,0,0,24,6,7,0,51,0,8
,Paenibacillus larvae,26,26,0,0,11,38,12,0,0,0,6,32
,Paenibacillus lautus,5,10,0,0,0,12,6,0,0,0,0,0
,Paenibacillus lentus,8,20,0,0,5,37,5,18,0,0,0,0
,Paenibacillus mucilaginosus,48,70,8,20,32,123,30,14,0,17,0,17
,Paenibacillus naphthalenovorans,23,26,0,0,12,60,7,6,6,0,0,9
,Paenibacillus odorifer,9,20,0,0,25,143,8,21,0,31,9,18
,Paenibacillus physcomitrellae,8,19,0,0,7,41,0,6,0,0,0,0
,Paenibacillus polymyxa,32,47,0,5,27,210,35,26,0,36,20,57
,Paenibacillus sabinae,14,21,0,7,19,64,10,13,0,0,0,7
,Paenibacillus sonchi group,0,0,0,0,0,0,0,0,0,0,0,0
,Paenibacillus riograndensis,16,34,0,0,0,35,0,0,0,0,0,0
,Paenibacillus stellifer,25,21,0,0,17,56,6,5,0,0,0,0
,Paenibacillus swuensis,11,17,0,0,5,52,9,5,0,6,0,5
,Paenibacillus terrae,8,22,0,0,0,36,7,11,0,0,0,6
,Paenibacillus thiaminolyticus,41,54,0,0,12,78,19,13,0,9,0,5
,Paenibacillus uliginis,7,15,0,0,10,61,0,8,0,13,12,37
,Paenibacillus xylanexedens,10,24,0,0,24,116,0,10,0,29,20,67
,Paenibacillus yonginensis,0,24,0,5,7,44,14,7,0,0,0,7
,unclassified Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Paenibacillus sp. CAA11,0,19,0,0,5,43,7,0,0,11,5,19
,Paenibacillus sp. FSL H7-0357,15,28,0,0,6,55,6,0,0,23,6,7
,Paenibacillus sp. FSL H7-0737,0,6,0,0,36,121,0,0,0,36,9,36
,Paenibacillus sp. FSL P4-0081,9,25,0,0,10,36,0,0,0,0,0,6
,Paenibacillus sp. FSL R5-0345,8,14,0,0,8,79,0,5,0,0,5,8
,Paenibacillus sp. FSL R5-0912,9,17,0,0,0,21,0,0,0,0,0,6
,Paenibacillus sp. FSL R7-0273,20,32,0,5,0,45,6,5,0,0,0,0
,Paenibacillus sp. FSL R7-0331,16,33,0,0,0,54,10,20,0,0,0,12
,Paenibacillus sp. IHB B 3084,9,5,0,0,0,61,5,0,0,0,0,0
,Paenibacillus sp. IHBB 10380,0,7,0,0,24,124,6,5,0,47,10,37
,Paenibacillus sp. JDR-2,19,21,0,0,0,45,0,0,0,0,0,17
,Paenibacillus sp. Y412MC10,7,10,0,0,0,42,0,5,0,0,0,0
,Thermobacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Thermobacillus composti,33,49,0,0,14,68,24,14,5,0,0,0
,Planococcaceae,12,26,18,20,6,30,21,12,10,5,7,15
,Jeotgalibacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Jeotgalibacillus malaysiensis,8,16,0,0,25,71,5,5,0,50,10,17
,Kurthia,0,0,0,0,2,4,0,0,0,1,0,2
,Kurthia gibsonii,0,0,0,0,0,13,0,0,0,40,5,6
,Kurthia zopfii,0,7,0,0,19,72,0,12,0,29,21,60
,Paenisporosarcina,0,0,0,0,0,0,0,0,0,0,0,0
,Paenisporosarcina antarctica,20,23,0,0,28,150,9,11,0,26,78,197
,Planococcus,42,36,6,18,43,129,22,40,7,35,20,27
,Planococcus antarcticus,0,5,0,0,0,42,0,0,0,0,0,0
,Planococcus donghaensis,0,5,0,0,5,39,0,11,0,0,21,82
,Planococcus faecalis,0,0,0,0,0,12,0,5,0,0,0,0
,Planococcus halocryophilus,0,11,0,0,10,74,0,8,0,25,5,16
,Planococcus kocurii,0,0,0,0,5,58,0,0,0,26,32,159
,Planococcus maritimus,6,7,0,0,6,35,5,0,0,0,18,60
,Planococcus massiliensis,5,14,0,0,0,28,0,0,0,0,0,6
,Planococcus plakortidis,8,11,0,0,0,29,0,0,0,0,0,0
,Planococcus rifietoensis,0,18,0,0,0,30,6,0,0,0,0,11
,Planococcus sp. PAMC 21323,0,5,0,0,14,48,0,5,0,64,0,26
,Planococcus versutus,0,6,0,0,22,114,0,0,0,10,21,79
,Planomicrobium,0,2,0,0,7,7,4,0,0,5,0,2
,Planomicrobium glaciei,6,12,0,0,6,29,9,0,0,0,0,0
,Rummeliibacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Rummeliibacillus stabekisii,0,9,0,0,6,80,0,0,0,18,22,98
,Solibacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Solibacillus silvestris,7,13,0,0,19,99,0,16,0,18,18,79
,Sporosarcina,11,7,0,2,0,6,10,1,6,0,0,0
,Sporosarcina pasteurii,0,8,0,0,14,51,0,11,0,93,9,34
,Sporosarcina psychrophila,0,14,0,0,16,76,0,10,0,34,20,51
,Sporosarcina ureae,17,23,0,5,43,285,31,38,0,67,43,190
,Ureibacillus,5,5,0,0,3,6,6,3,0,3,0,0
,Ureibacillus thermophilus,0,6,0,0,15,37,0,5,0,9,8,49
,Ureibacillus thermosphaericus,0,0,0,0,8,82,0,12,0,13,35,83
,Sporolactobacillaceae,4,6,5,2,5,4,9,7,2,5,0,4
,Sporolactobacillus,0,0,0,0,0,2,0,0,0,0,0,0
,Sporolactobacillus terrae,9,12,0,0,5,53,0,6,0,0,0,0
,unclassified Sporolactobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0
,[Bacillus] selenitireducens,15,27,0,5,6,28,5,7,7,0,0,11
,Staphylococcaceae,4,8,5,4,1,28,4,5,4,8,9,2
,Macrococcus,0,0,0,0,0,0,0,0,0,0,0,0
,Macrococcus caseolyticus,14,10,7,6,25,105,12,7,0,10,0,16
,Salinicoccus,3,6,0,0,1,11,10,1,0,0,0,6
,Salinicoccus halodurans,9,11,0,0,16,67,16,6,0,0,0,0
,unclassified Salinicoccus,0,0,0,0,0,0,0,0,0,0,0,0
,Salinicoccus sp. BAB 3246,0,11,0,0,0,0,0,0,0,0,0,0
,Staphylococcus,148,240,104,55,207,624,200,134,60,234,179,562
,Staphylococcus agnetis,0,0,0,0,0,41,0,5,0,31,0,8
,Staphylococcus argenteus,0,9,0,0,16,60,0,7,0,0,6,18
,Staphylococcus arlettae,0,5,0,0,41,104,0,7,0,18,22,70
,Staphylococcus aureus,13,99,31,6,89,254,198,57,5,169,83,149
,Staphylococcus auricularis,0,0,0,0,5,29,0,0,0,21,7,14
,Staphylococcus capitis,64,111,8,7,29,126,170,68,8,49,5,8
,Staphylococcus caprae,0,11,0,0,17,64,12,10,0,7,0,11
,Staphylococcus carnosus,0,0,0,0,12,27,0,0,0,15,8,12
,Staphylococcus chromogenes,0,5,0,0,29,78,0,0,0,33,19,28
,Staphylococcus cohnii,24,87,8,17,43,181,45,38,20,56,40,103
,Staphylococcus condimenti,0,6,0,0,5,87,0,0,0,37,22,43
,Staphylococcus delphini,0,0,0,0,0,10,0,0,0,0,6,7
,Staphylococcus epidermidis,138,152,121,39,28,327,211,88,120,51,18,55
,Staphylococcus equorum,0,18,0,0,14,74,0,5,0,5,12,26
,Staphylococcus felis,0,6,0,0,16,44,0,0,0,11,10,22
,Staphylococcus gallinarum,0,0,0,0,0,21,0,0,0,6,0,0
,Staphylococcus haemolyticus,29,42,51,21,61,246,64,35,56,85,42,42
,Staphylococcus hominis,51,113,71,18,29,240,101,45,28,34,28,66
,Staphylococcus hyicus,0,7,0,0,7,77,0,0,0,47,7,7
,Staphylococcus kloosii,5,0,0,0,8,55,0,0,0,0,12,40
,Staphylococcus lugdunensis,7,9,0,0,28,93,6,19,0,0,17,49
,Staphylococcus lutrae,0,5,0,0,0,26,0,5,0,0,0,0
,Staphylococcus muscae,0,0,0,0,5,47,0,0,0,21,0,22
,Staphylococcus nepalensis,0,10,0,0,6,75,0,0,0,0,5,37
,Staphylococcus pasteuri,5,14,0,5,29,75,21,13,0,5,14,31
,Staphylococcus pettenkoferi,5,6,0,0,0,39,28,9,0,12,0,11
,Staphylococcus piscifermentans,0,5,0,0,9,51,0,6,0,8,19,42
,Staphylococcus saprophyticus,7,22,5,0,16,103,21,19,0,9,17,59
,Staphylococcus schleiferi,0,0,0,0,17,60,0,6,0,5,33,47
,Staphylococcus sciuri,5,15,19,0,25,131,6,12,0,42,36,114
,Staphylococcus simiae,0,0,0,0,7,50,0,29,0,62,14,57
,Staphylococcus simulans,0,0,0,0,0,15,0,0,0,0,0,0
,Staphylococcus stepanovicii,0,7,0,0,31,72,0,0,0,13,25,66
,Staphylococcus succinus,0,9,0,0,0,52,0,0,0,22,10,19
,Staphylococcus warneri,0,7,0,0,9,40,0,0,0,7,0,0
,Staphylococcus xylosus,10,6,0,0,28,83,0,12,0,19,0,10
,Thermoactinomycetaceae,2,4,0,0,8,3,1,0,0,6,6,1
,Laceyella,0,0,0,0,0,0,0,0,0,0,0,0
,Laceyella sacchari,25,17,0,0,5,30,6,0,0,0,0,11
,Novibacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Novibacillus thermophilus,9,17,0,0,0,27,5,5,0,0,0,5
,Thermoactinomyces,0,0,0,0,0,0,1,0,0,0,0,0
,Thermoactinomyces vulgaris,20,20,0,0,0,63,5,0,0,0,0,10
,unclassified Bacillales,4,0,7,0,9,4,1,3,0,3,0,0
,Lactobacillales,30,79,8,4,87,490,41,43,9,198,154,361
,Aerococcaceae,0,0,0,0,0,0,0,1,0,0,0,0
,Aerococcus,22,41,18,11,15,20,26,36,0,16,5,11
,Aerococcus christensenii,0,0,0,0,0,17,0,0,0,0,0,0
,Aerococcus sanguinicola,10,10,0,0,0,12,0,0,0,0,0,0
,Aerococcus urinae,9,21,0,0,5,54,7,0,0,0,0,0
,Aerococcus urinaeequi,0,20,0,0,17,48,14,0,0,9,5,16
,Aerococcus urinaehominis,0,7,0,0,35,32,0,0,0,0,0,8
,Aerococcus viridans,6,10,0,0,0,29,0,7,0,0,0,0
,Carnobacteriaceae,8,3,4,6,13,3,1,8,0,7,0,4
,Carnobacterium,10,10,0,15,8,21,10,13,0,9,6,10
,Carnobacterium divergens,0,7,0,0,21,77,5,0,0,33,0,6
,Carnobacterium inhibens,6,21,0,0,18,44,6,14,0,6,0,6
,Carnobacterium maltaromaticum,6,11,0,0,28,98,0,18,0,5,7,25
,unclassified Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0
,Carnobacterium sp. 17-4,10,13,0,0,16,68,22,0,0,9,6,19
,Carnobacterium sp. CP1,0,6,0,0,6,22,0,0,0,0,15,20
,Dolosigranulum,0,0,0,0,0,0,0,0,0,0,0,0
,Dolosigranulum pigrum,0,14,9,0,0,40,29,7,0,9,12,25
,Jeotgalibaca,0,0,0,0,0,0,0,0,0,0,0,0
,Jeotgalibaca dankookensis,0,12,0,0,0,55,7,5,0,12,10,28
,Enterococcaceae,9,8,3,9,5,13,12,0,3,3,4,6
,Enterococcus,36,63,16,24,54,117,53,51,8,34,13,40
,Enterococcus avium,6,10,0,0,16,91,0,8,0,34,7,18
,Enterococcus casseliflavus,5,0,0,0,0,33,0,0,0,9,12,31
,Enterococcus cecorum,7,0,0,0,18,82,0,8,0,35,61,177
,Enterococcus durans,0,5,0,0,13,42,0,0,0,0,10,54
,Enterococcus faecalis,19,12,0,0,31,141,15,10,0,19,11,54
,Enterococcus faecium,10,29,0,0,38,182,6,0,0,27,23,41
,Enterococcus gallinarum,0,0,0,0,0,38,0,0,0,5,0,21
,Enterococcus gilvus,5,7,0,0,0,29,0,0,0,0,6,0
,Enterococcus hirae,0,5,0,0,6,77,0,0,0,34,7,42
,Enterococcus mundtii,0,6,0,0,5,65,5,7,0,15,18,21
,Enterococcus rivorum,0,0,0,0,0,17,0,0,0,0,0,0
,Enterococcus rotai,0,6,0,0,0,65,0,0,0,0,7,7
,Enterococcus silesiacus,0,6,0,0,14,80,0,0,0,5,34,94
,Enterococcus thailandicus,5,7,0,0,6,88,0,0,0,0,11,38
,Melissococcus,0,0,0,0,0,0,0,0,0,0,0,0
,Melissococcus plutonius,0,6,0,0,13,80,0,14,0,44,0,7
,Tetragenococcus,12,1,0,0,8,31,2,13,0,5,1,9
,Tetragenococcus halophilus,5,14,0,0,18,124,6,0,0,5,26,25
,Tetragenococcus koreensis,0,8,0,0,11,45,0,5,0,20,37,74
,Tetragenococcus osmophilus,0,5,0,0,0,57,5,0,0,5,7,5
,Vagococcus,7,7,0,0,0,3,0,4,0,0,4,0
,Vagococcus penaei,0,8,0,0,20,99,0,5,0,29,31,94
,Vagococcus teuberi,0,7,0,0,14,90,0,13,0,22,0,35
,Lactobacillaceae,8,8,5,7,9,23,4,1,3,5,14,31
,Lactobacillus,151,217,69,83,266,602,177,210,45,242,130,305
,Lactobacillus acetotolerans,0,0,0,0,0,27,0,0,0,0,0,5
,Lactobacillus acidipiscis,5,0,0,0,5,68,0,8,0,31,7,6
,Lactobacillus acidophilus,0,5,0,0,11,68,0,0,0,22,11,27
,Lactobacillus agilis,0,0,0,0,0,18,0,0,0,0,0,0
,Lactobacillus alimentarius,5,0,0,0,0,74,6,0,0,0,0,17
,Lactobacillus amylolyticus,0,0,0,0,0,6,0,0,0,0,0,0
,Lactobacillus amylophilus,0,0,0,0,0,11,0,0,0,0,0,0
,Lactobacillus amylovorus,5,7,0,0,9,61,6,0,0,0,0,0
,Lactobacillus animalis,0,0,0,0,0,32,0,0,0,26,6,13
,Lactobacillus apis,0,0,0,0,0,9,0,0,0,0,0,18
,Lactobacillus aquaticus,0,0,0,0,0,0,0,0,0,0,7,0
,Lactobacillus backii,0,0,0,0,0,47,0,0,0,46,5,18
,Lactobacillus bombi,0,11,0,0,5,49,0,0,0,0,20,61
,Lactobacillus brevis,12,23,0,0,0,61,20,5,0,8,16,69
,Lactobacillus buchneri,7,11,0,0,6,46,0,0,0,0,0,0
,Lactobacillus casei group,12,7,0,0,7,15,2,5,0,7,2,1
,Lactobacillus casei,0,17,0,0,15,52,11,0,0,7,19,46
,Lactobacillus paracasei,0,8,0,0,0,41,6,0,0,6,0,5
,Lactobacillus coryniformis,6,5,0,0,7,87,0,0,0,6,0,0
,Lactobacillus crispatus,32,27,23,13,0,58,63,53,0,0,11,33
,Lactobacillus crustorum,5,7,0,0,5,31,0,9,0,6,0,5
,Lactobacillus curieae,0,0,0,0,12,39,0,0,0,0,22,31
,Lactobacillus curvatus,0,11,0,0,0,50,0,0,0,0,0,16
,Lactobacillus delbrueckii,22,30,0,0,8,48,11,9,0,0,0,5
,Lactobacillus farciminis,0,5,0,0,6,45,0,7,0,23,5,0
,Lactobacillus fermentum,9,27,0,0,0,45,9,0,0,53,0,0
,Lactobacillus futsaii,0,0,0,0,0,54,0,0,0,0,0,0
,Lactobacillus gasseri,5,7,0,0,0,47,0,0,0,0,0,5
,Lactobacillus ginsenosidimutans,0,6,0,0,0,63,0,0,0,0,0,0
,Lactobacillus heilongjiangensis,0,6,0,0,0,39,0,0,0,10,13,37
,Lactobacillus helsingborgensis,0,0,0,0,0,10,0,0,0,0,0,0
,Lactobacillus helveticus,0,6,0,0,20,96,0,12,0,26,6,60
,Lactobacillus hokkaidonensis,0,0,0,0,11,35,0,0,0,0,5,11
,Lactobacillus hordei,0,6,0,0,0,59,0,0,0,6,19,32
,Lactobacillus jensenii,0,0,0,0,7,40,0,0,0,13,5,5
,Lactobacillus johnsonii,8,10,0,0,18,108,5,0,0,37,19,78
,Lactobacillus kefiranofaciens,0,6,0,0,5,25,0,0,0,0,6,0
,Lactobacillus koreensis,0,0,0,0,0,24,0,0,0,6,0,0
,Lactobacillus kullabergensis,0,0,0,0,0,34,5,0,0,13,8,29
,Lactobacillus kunkeei,0,0,0,0,15,20,0,0,0,0,12,13
,Lactobacillus lindneri,0,5,0,0,7,35,0,0,0,0,6,25
,Lactobacillus malefermentans,0,0,0,0,0,29,0,5,0,7,14,15
,Lactobacillus mucosae,0,0,0,0,0,15,0,0,0,0,0,0
,Lactobacillus murinus,0,0,0,0,0,5,0,0,0,0,0,0
,Lactobacillus nagelii,0,5,0,0,6,21,0,0,0,18,0,11
,Lactobacillus oligofermentans,0,5,0,0,0,35,0,0,0,15,33,66
,Lactobacillus oris,0,7,0,0,0,6,0,0,0,0,0,0
,Lactobacillus parabuchneri,0,6,0,0,14,41,0,18,0,0,0,5
,Lactobacillus paracollinoides,5,0,0,0,0,21,0,0,0,0,0,0
,Lactobacillus paralimentarius,0,0,0,0,0,9,0,0,0,0,0,0
,Lactobacillus paraplantarum,0,0,0,0,10,31,0,0,0,0,15,31
,Lactobacillus pentosus,7,6,0,0,12,44,0,0,0,0,0,0
,Lactobacillus plantarum,17,29,0,0,11,72,13,17,0,6,0,16
,Lactobacillus rennini,0,5,0,0,0,27,0,0,0,35,0,5
,Lactobacillus reuteri,8,24,0,0,44,85,0,25,0,25,17,52
,Lactobacillus rhamnosus,8,12,0,0,0,56,0,0,0,0,10,49
,Lactobacillus ruminis,0,5,0,0,0,48,0,0,0,0,0,0
,Lactobacillus sakei,0,8,0,0,10,64,7,14,0,67,6,24
,Lactobacillus salivarius,6,17,0,0,43,154,0,24,0,58,10,47
,Lactobacillus sanfranciscensis,0,10,0,0,5,49,0,0,0,0,5,13
,Lactobacillus zymae,8,5,0,0,0,7,0,0,0,0,0,0
,Pediococcus,12,26,0,5,33,45,16,30,0,22,19,31
,Pediococcus acidilactici group,0,0,0,0,0,0,0,0,0,0,0,0
,Pediococcus acidilactici,0,0,0,0,0,48,0,0,0,20,6,23
,Pediococcus claussenii,0,0,0,0,0,60,6,0,0,0,5,19
,Pediococcus damnosus,0,8,0,0,0,40,0,0,0,46,10,15
,Pediococcus inopinatus,0,5,0,0,0,38,0,0,0,0,0,0
,Pediococcus pentosaceus,0,7,0,0,53,141,0,0,0,17,14,27
,Leuconostocaceae,11,5,8,7,5,6,6,4,2,8,8,9
,Fructobacillus,0,0,0,0,0,0,0,0,0,0,0,0
,Fructobacillus pseudoficulneus,0,0,0,0,0,5,0,0,0,0,0,0
,Leuconostoc,22,34,6,7,24,109,21,21,5,20,51,128
,Leuconostoc carnosum,0,0,0,0,5,33,0,0,0,0,0,6
,Leuconostoc citreum,0,0,0,0,5,28,0,0,0,0,0,0
,Leuconostoc garlicum,0,0,0,0,0,11,0,0,0,0,0,0
,Leuconostoc gelidum,0,5,0,0,15,60,0,0,0,19,5,0
,Leuconostoc lactis,0,5,0,0,0,27,0,0,0,0,5,0
,Leuconostoc mesenteroides,15,19,0,0,25,71,24,11,0,15,34,108
,Leuconostoc pseudomesenteroides,0,15,0,0,0,23,7,5,0,0,20,52
,Leuconostoc suionicum,0,0,0,0,5,28,8,0,0,9,0,0
,Oenococcus,0,2,0,0,0,1,0,0,0,0,0,0
,Oenococcus oeni,0,7,0,0,0,28,0,0,0,0,0,7
,Weissella,7,21,8,6,32,46,25,35,5,14,26,48
,Weissella ceti,0,0,0,0,0,24,0,0,0,5,0,16
,Weissella cibaria,0,13,0,0,0,30,0,5,0,0,0,8
,Weissella confusa,0,7,0,0,0,43,9,6,0,0,0,5
,Weissella hellenica,0,0,0,0,0,16,0,0,0,0,23,67
,Weissella koreensis,0,0,0,0,6,48,0,8,0,43,21,67
,Weissella paramesenteroides,0,5,0,0,11,28,0,0,0,7,0,9
,Weissella soli,5,6,0,0,0,42,0,0,0,8,7,12
,Weissella thailandensis,0,8,0,0,18,27,0,0,0,6,22,86
,Streptococcaceae,4,1,4,5,3,29,8,3,0,3,22,58
,Lactococcus,5,6,5,1,13,26,7,12,5,14,11,9
,Lactococcus garvieae,7,14,0,0,6,80,7,5,0,6,14,35
,Lactococcus lactis,25,39,7,5,49,286,36,28,5,80,56,189
,Lactococcus piscium,0,5,0,0,15,93,0,0,0,89,26,78
,Lactococcus raffinolactis,5,7,0,0,0,41,0,0,0,0,24,57
,Streptococcus,204,434,192,120,285,1195,666,612,103,433,247,611
,Streptococcus acidominimus,0,0,0,0,13,82,0,0,0,0,0,0
,Streptococcus agalactiae,0,21,0,0,17,93,0,8,5,19,6,31
,Streptococcus anginosus group,4,5,0,0,0,18,6,10,0,10,1,3
,Streptococcus anginosus,0,11,0,0,0,22,7,5,0,6,13,25
,Streptococcus intermedius,5,0,0,5,0,16,0,5,0,0,14,30
,Streptococcus australis,0,6,5,0,0,11,22,22,0,0,5,0
,Streptococcus canis,0,0,0,0,0,16,0,0,0,0,0,0
,Streptococcus cristatus,0,9,0,0,0,13,13,13,0,0,0,0
,Streptococcus dysgalactiae group,6,6,0,0,5,0,0,3,0,6,2,0
,Streptococcus dysgalactiae,0,6,0,0,0,40,7,11,0,6,0,18
,Streptococcus equi,0,8,0,0,7,92,7,5,0,9,12,48
,Streptococcus equinus,0,0,0,0,0,23,0,0,0,0,8,18
,Streptococcus ferus,0,0,0,0,0,27,0,0,0,0,0,0
,Streptococcus gallolyticus,0,0,0,0,0,15,0,0,0,0,0,0
,Streptococcus gordonii,6,23,12,5,8,96,28,41,0,12,13,25
,Streptococcus infantarius,0,6,0,0,0,35,5,0,0,55,7,0
,Streptococcus iniae,0,7,0,0,20,84,0,6,0,7,6,26
,Streptococcus merionis,0,0,0,0,0,38,0,0,0,0,0,0
,Streptococcus mitis,13,25,11,0,5,48,66,27,7,5,11,43
,Streptococcus mutans,6,19,0,0,15,139,6,5,0,41,9,21
,Streptococcus oralis,0,21,0,0,11,45,45,53,0,8,0,12
,Streptococcus parasanguinis,7,5,0,0,0,39,0,0,0,16,0,0
,Streptococcus parasuis,0,0,0,0,0,9,0,0,0,0,0,0
,Streptococcus parauberis,0,0,0,0,15,81,0,0,0,5,9,14
,Streptococcus pasteurianus,0,0,0,0,12,12,0,0,0,0,0,0
,Streptococcus pluranimalium,0,5,0,0,0,70,0,0,0,5,26,62
,Streptococcus pneumoniae,9,51,10,9,86,219,47,38,0,47,11,16
,Streptococcus porcinus,6,0,0,0,11,63,0,5,0,21,6,16
,Streptococcus pseudopneumoniae,0,0,0,0,0,0,0,5,0,0,0,24
,Streptococcus pseudoporcinus,0,0,0,0,0,13,0,0,0,0,0,0
,Streptococcus pyogenes,0,10,0,0,28,126,7,31,0,33,29,99
,Streptococcus salivarius,0,12,9,0,19,65,0,18,0,0,6,21
,Streptococcus sanguinis,14,55,18,25,12,118,148,133,7,13,7,5
,Streptococcus sobrinus,0,0,0,0,0,57,0,6,0,0,0,7
,Streptococcus suis,17,38,0,0,60,188,5,22,0,55,27,70
,Streptococcus thermophilus,5,13,6,0,9,59,33,46,0,27,6,6
,Streptococcus troglodytae,0,0,0,0,0,21,0,19,0,39,0,13
,Streptococcus uberis,0,6,0,0,16,57,0,0,0,0,5,21
,Streptococcus urinalis,0,5,0,0,13,68,0,0,0,27,0,16
,Streptococcus vestibularis,0,7,0,0,0,7,0,0,0,0,0,0
,unclassified Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0
,Streptococcus sp. ChDC B345,0,6,0,0,0,9,0,9,0,0,0,0
,Streptococcus sp. I-G2,0,0,0,0,0,5,0,0,0,0,0,0
,Streptococcus sp. I-P16,0,0,0,0,0,12,0,0,0,0,0,0
,Streptococcus sp. oral taxon 431,6,6,0,0,0,29,13,15,0,5,0,0
,Streptococcus sp. VT 162,0,0,0,0,0,0,5,0,0,0,0,0
,Clostridia,88,185,30,12,26,208,59,42,21,25,26,80
,Clostridiales,119,288,56,59,135,611,82,81,27,92,70,128
,Christensenellaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Christensenella,0,0,0,0,0,0,0,0,0,0,0,0
,Christensenella minuta,19,24,0,5,5,39,12,19,0,0,0,0
,Clostridiaceae,10,20,10,12,14,41,12,6,7,9,4,7
,Alkaliphilus,4,0,7,0,2,6,2,0,0,0,0,0
,Alkaliphilus metalliredigens,23,37,0,5,16,158,19,17,0,11,12,28
,Alkaliphilus oremlandii,5,27,0,0,25,132,7,5,0,38,15,58
,Candidatus Arthromitus,10,9,0,0,2,44,5,10,0,34,1,5
,unclassified Candidatus Arthromitus,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Arthromitus sp. SFB-rat-Yit,7,7,0,0,8,40,0,7,0,23,11,7
,Clostridium,186,289,105,129,338,1467,158,226,85,428,336,481
,Clostridium aceticum,16,35,0,6,38,191,9,17,0,67,12,35
,Clostridium acetobutylicum,7,25,0,0,30,109,7,20,0,62,18,36
,Clostridium argentinense,10,24,0,0,19,116,13,14,0,17,25,42
,Clostridium autoethanogenum,0,0,0,0,7,29,0,0,0,13,0,0
,Clostridium baratii,14,43,0,0,37,168,7,48,0,54,32,81
,Clostridium beijerinckii,17,60,0,0,97,420,18,58,0,72,35,83
,Clostridium bornimense,9,18,0,0,26,181,6,0,0,18,7,6
,Clostridium botulinum,76,152,23,20,161,910,63,140,9,270,110,284
,Clostridium butyricum,20,35,6,0,103,372,11,31,0,44,44,103
,Clostridium carboxidivorans,9,13,0,0,39,120,8,28,0,48,15,86
,Clostridium cellulovorans,16,22,0,0,34,181,15,7,0,19,32,60
,Clostridium chauvoei,0,6,0,0,25,153,5,15,0,36,15,9
,Clostridium cochlearium,8,16,0,0,27,114,7,10,0,19,5,5
,Clostridium drakei,6,13,0,0,25,102,5,16,0,43,18,65
,Clostridium estertheticum,14,49,5,0,25,167,12,29,0,34,14,58
,Clostridium formicaceticum,24,38,6,0,22,114,13,6,0,9,6,52
,Clostridium isatidis,0,19,0,0,18,95,7,15,0,24,17,35
,Clostridium kluyveri,17,46,0,0,71,222,22,29,0,21,45,127
,Clostridium ljungdahlii,0,0,0,0,0,13,0,0,0,0,0,0
,Clostridium novyi,11,19,0,0,28,221,14,19,0,35,22,96
,Clostridium pasteurianum,33,64,0,5,82,343,26,32,6,82,65,181
,Clostridium perfringens,39,84,10,6,109,521,38,73,0,63,55,170
,Clostridium ragsdalei,0,0,0,0,0,29,0,0,0,10,0,0
,Clostridium saccharobutylicum,9,19,5,0,44,206,11,43,0,113,23,37
,Clostridium saccharoperbutylacetonicum,15,42,0,0,87,306,5,33,0,76,37,96
,Clostridium scatologenes,6,24,0,0,8,77,6,17,0,10,8,48
,Clostridium septicum,6,18,0,0,22,136,7,33,0,28,9,11
,Clostridium sporogenes,7,22,0,5,55,260,5,10,0,56,10,36
,Clostridium taeniosporum,0,14,0,0,34,185,12,12,0,47,17,34
,Clostridium tetani,13,21,0,5,19,149,17,6,0,74,0,14
,Clostridium tyrobutyricum,14,13,0,0,39,177,9,17,0,36,14,11
,"environmental samples <firmicutes,genus Clostridium>",0,0,0,0,0,1,0,0,0,0,0,0
,uncultured Clostridium sp.,0,0,0,0,0,6,0,7,0,0,0,0
,unclassified Clostridium,0,0,0,0,0,0,0,0,0,0,0,0
,Clostridium sp. BNL1100,7,22,0,0,17,77,7,0,0,5,0,20
,Clostridium sp. SY8519,18,45,0,0,0,73,6,7,0,0,0,0
,Geosporobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Geosporobacter ferrireducens,11,49,0,0,23,122,13,19,0,16,14,24
,Hathewaya,0,0,0,0,0,0,0,0,0,0,0,0
,Hathewaya histolytica,6,17,0,0,20,116,0,10,0,21,0,11
,Hungatella,0,0,0,0,0,0,0,0,0,0,0,0
,Hungatella hathewayi,29,38,0,9,0,46,7,8,0,0,0,0
,Lutispora,0,0,0,0,0,0,0,0,0,0,0,0
