,,Depth (cm),,,
,Clostridiales incertae sedis,6,14,4,5
,Clostridiales Family XII. Incertae Sedis,0,0,0,0
,Fusibacter,0,0,0,0
,Clostridiales Family XIII. Incertae Sedis,5,0,7,0
,[Eubacterium] minutum,0,0,0,0
,[Eubacterium] sulci,7,0,0,0
,Mogibacterium,2,0,0,0
,Mogibacterium diversum,48,0,0,0
,Mogibacterium pumilum,9,0,0,0
,Clostridiales Family XVI. Incertae Sedis,0,0,0,0
,Carboxydocella,0,0,1,0
,Carboxydocella thermautotrophica,16,9,42,11
,Clostridiales Family XVII. Incertae Sedis,4,5,0,5
,Sulfobacillus,2,0,9,0
,Sulfobacillus acidophilus,5,0,12,0
,Sulfobacillus thermotolerans,0,0,0,0
,Thermaerobacter,4,0,0,0
,Thermaerobacter marianensis,133,31,79,41
,Intestinimonas,0,0,0,0
,Intestinimonas butyriciproducens,32,7,19,15
,"environmental samples <firmicutes,order Clostridiales>",0,0,0,0
,uncultured Clostridiales bacterium,0,0,0,0
,Eubacteriaceae,2,1,4,7
,Acetobacterium,0,0,0,0
,Acetobacterium woodii,0,9,9,0
,Eubacterium,24,15,23,13
,Eubacterium callanderi,0,0,0,0
,Eubacterium limosum,0,9,23,10
,Gracilibacteraceae,0,0,0,0
,"environmental samples <firmicutes,family Gracilibacteraceae>",0,0,0,0
,uncultured Gracilibacteraceae bacterium,0,0,0,0
,Heliobacteriaceae,6,4,3,0
,Heliobacillus,0,0,0,0
,Heliobacillus mobilis,0,0,0,0
,Heliobacterium,0,0,0,0
,Heliobacterium modesticaldum,38,22,54,20
,Hungateiclostridiaceae,0,0,0,0
,Fastidiosipila,0,0,0,0
,Fastidiosipila sanguinis,0,0,0,0
,Hungateiclostridium,0,0,0,0
,Hungateiclostridium clariflavum,0,6,15,0
,Hungateiclostridium thermocellum,0,0,14,0
,Mageeibacillus,0,0,0,0
,Mageeibacillus indolicus,0,0,0,0
,Pseudoclostridium,0,0,0,0
,Pseudoclostridium thermosuccinogenes,0,0,21,0
,Ruminiclostridium,20,21,12,27
,Ruminiclostridium cellulolyticum,0,0,5,0
,Thermoclostridium,0,0,0,0
,Thermoclostridium stercorarium,0,0,5,0
,Lachnospiraceae,32,34,36,27
,Anaerobutyricum,0,0,0,0
,Anaerobutyricum hallii,0,0,11,0
,Anaerostipes,0,6,5,0
,Anaerostipes hadrus,0,0,0,0
,Anaerostipes rhamnosivorans,0,0,0,0
,Anaerotignum,0,0,0,0
,Anaerotignum propionicum,0,0,5,0
,Blautia,30,17,28,10
,Blautia coccoides,0,5,0,0
,Blautia hansenii,0,5,0,0
,Blautia obeum,0,0,6,0
,Blautia producta,0,5,13,0
,Butyrivibrio,0,6,8,0
,Butyrivibrio hungatei,0,5,6,0
,Butyrivibrio proteoclasticus,0,0,13,0
,Cellulosilyticum,0,0,0,0
,Cellulosilyticum lentocellum,0,0,12,0
,Coprococcus,0,0,0,0
,unclassified Coprococcus,0,0,0,0
,Coprococcus sp. ART55/1,0,0,6,0
,Enterocloster,0,0,0,0
,Enterocloster bolteae,7,0,5,0
,"environmental samples <firmicutes,family Lachnospiraceae>",0,0,0,0
,uncultured Lachnospiraceae bacterium,0,0,0,0
,Lachnoanaerobaculum,0,0,0,0
,Lachnoanaerobaculum umeaense,62,0,0,0
,Lachnoclostridium,22,18,12,23
,[Clostridium] scindens,6,0,11,0
,Lachnoclostridium phytofermentans,0,11,5,0
,Lachnospira,0,0,0,0
,Lachnospira eligens,0,6,0,0
,Lacrimispora,0,0,0,0
,Lacrimispora saccharolytica,0,6,16,0
,Lacrimispora sphenoides,5,0,12,0
,Mediterraneibacter,0,0,0,0
,[Ruminococcus] torques,0,0,0,6
,Roseburia,0,5,0,0
,Roseburia intestinalis,0,0,0,0
,Tyzzerella,0,0,0,0
,unclassified Lachnospiraceae,0,0,0,0
,[Eubacterium] rectale,0,0,5,0
,Lachnospiraceae bacterium oral taxon 500,41,0,6,0
,Oscillospiraceae,0,0,0,0
,Oscillibacter,0,0,0,0
,Oscillibacter valericigenes,16,11,26,0
,Peptococcaceae,6,13,14,18
,Candidatus Desulforudis,0,0,0,0
,Candidatus Desulforudis audaxviator,43,21,61,23
,Dehalobacter,11,13,15,0
,Dehalobacter restrictus,0,0,5,0
,Dehalobacterium,0,0,0,0
,Dehalobacterium formicoaceticum,0,0,13,0
,Desulfallas,0,0,0,0
,Desulfallas gibsoniae,32,45,152,13
,Desulfitobacterium,10,11,13,22
,Desulfitobacterium dehalogenans,0,5,10,9
,Desulfitobacterium dichloroeliminans,0,8,6,0
,Desulfitobacterium hafniense,14,8,25,0
,Desulfitobacterium metallireducens,0,0,5,0
,Desulfofarcimen,0,0,0,0
,Desulfofarcimen acetoxidans,0,6,26,0
,Desulfofundulus,0,0,0,0
,Desulfofundulus kuznetsovii,37,22,52,14
,Desulfosporosinus,15,12,1,12
,Desulfosporosinus acidiphilus,0,0,12,7
,Desulfosporosinus meridiei,0,0,9,5
,Desulfosporosinus orientis,0,5,17,0
,Desulfotomaculum,25,6,12,17
,Desulfotomaculum nigrificans,0,9,26,0
,Desulfotomaculum reducens,0,0,17,0
,Desulfotomaculum ruminis,7,14,29,5
,"environmental samples <firmicutes,genus Desulfotomaculum>",0,0,0,0
,uncultured Desulfotomaculum sp.,0,0,0,0
,Pelotomaculum,1,1,0,0
,"environmental samples <firmicutes,genus Pelotomaculum>",0,0,0,0
,uncultured Pelotomaculum sp.,0,0,0,0
,Pelotomaculum thermopropionicum,25,15,51,12
,Peptococcus,0,0,0,0
,Peptococcus niger,0,0,0,0
,Syntrophobotulus,0,0,0,0
,Syntrophobotulus glycolicus,5,5,16,5
,Thermincola,0,0,0,0
,Thermincola potens,11,9,17,15
,Peptostreptococcaceae,2,6,9,12
,Acetoanaerobium,0,0,0,0
,Acetoanaerobium sticklandii,0,0,5,0
,Clostridioides,0,0,0,0
,Clostridioides difficile,6,8,35,8
,Filifactor,0,0,0,0
,Filifactor alocis,39,0,0,0
,Paeniclostridium,0,0,0,0
,Paeniclostridium sordellii,0,0,5,0
,Peptoclostridium,2,9,5,3
,Peptoclostridium acidaminophilum,0,8,12,0
,Peptostreptococcus,0,0,0,0
,Peptostreptococcus anaerobius,0,0,0,0
,Romboutsia,0,0,0,0
,Romboutsia ilealis,0,6,7,21
,Ruminococcaceae,14,11,11,13
,Ethanoligenens,0,0,0,0
,Ethanoligenens harbinense,21,7,26,11
,Faecalibacterium,0,0,0,0
,Faecalibacterium prausnitzii,38,27,83,27
,Flavonifractor,0,0,0,0
,Flavonifractor plautii,36,8,62,22
,Ruminococcaceae incertae sedis,0,0,0,0
,[Clostridium] cellulosi,7,0,5,0
,[Eubacterium] siraeum,0,0,18,0
,Ruminococcus,6,9,9,0
,Ruminococcus albus,0,6,10,0
,Ruminococcus bicirculans,0,0,9,0
,Ruminococcus flavefaciens,0,0,0,0
,unclassified Ruminococcus,0,0,0,0
,Ruminococcus sp. SR1/5,0,5,7,0
,Ruthenibacterium,0,0,0,0
,Ruthenibacterium lactatiformans,20,8,20,6
,unclassified Ruminococcaceae,0,0,0,0
,Ruminococcaceae bacterium CPB6,0,5,10,0
,Symbiobacteriaceae,0,0,0,0
,Symbiobacterium,1,0,0,0
,Symbiobacterium thermophilum,123,48,82,50
,Syntrophomonadaceae,2,10,0,0
,Dethiobacter,0,0,0,0
,"environmental samples <firmicutes,genus Dethiobacter>",0,0,0,0
,uncultured Dethiobacter sp.,0,0,0,0
,Syntrophomonas,0,0,0,0
,Syntrophomonas wolfei,5,0,14,0
,Syntrophothermus,0,0,0,0
,Syntrophothermus lipocalidus,12,6,20,0
,unclassified Clostridiales,0,0,5,0
,butyrate-producing bacterium SS3/4,0,5,5,0
,"environmental samples <firmicutes,class Clostridia>",0,0,2,0
,Clostridia bacterium enrichment culture clone BF,0,5,20,0
,uncultured Clostridia bacterium,0,0,0,0
,Halanaerobiales,8,1,1,4
,Halanaerobiaceae,5,7,0,6
,Halanaerobium,0,3,7,7
,Halanaerobium hydrogeniformans,0,6,18,7
,Halanaerobium praevalens,0,0,7,0
,Halothermothrix,0,0,1,0
,Halothermothrix orenii,0,5,16,0
,Halanaerobiales incertae sedis,0,0,0,0
,Anoxybacter,0,0,0,0
,Anoxybacter fermentans,0,0,33,0
,Halobacteroidaceae,0,11,9,2
,Acetohalobium,0,0,0,0
,Acetohalobium arabaticum,0,0,8,0
,Fuchsiella,0,0,0,0
,Fuchsiella ferrireducens,0,0,0,0
,Halobacteroides,0,0,0,0
,Halobacteroides halobius,0,0,10,5
,Natranaerobiales,0,0,0,0
,Natranaerobiaceae,0,0,0,0
,Natranaerobius,0,0,0,0
,Natranaerobius thermophilus,0,5,14,0
,Thermoanaerobacterales,11,7,6,8
,Thermoanaerobacteraceae,27,23,6,18
,Caldanaerobacter,0,0,0,0
,Caldanaerobacter subterraneus,0,0,8,0
,Carboxydothermus,0,0,0,0
,Carboxydothermus hydrogenoformans,0,0,18,0
,Moorella group,0,0,0,0
,Ammonifex,0,0,0,0
,Ammonifex degensii,42,12,75,20
,Moorella,0,0,0,0
,Moorella thermoacetica,35,29,72,17
,Tepidanaerobacter,0,0,0,0
,Tepidanaerobacter acetatoxydans,5,0,10,0
,Thermacetogenium,0,0,0,0
,Thermacetogenium phaeum,19,12,48,6
,Thermanaeromonas,0,0,0,5
,Thermanaeromonas toyohensis,0,0,17,0
,Thermoanaerobacter,0,12,31,27
,"environmental samples <firmicutes,genus Thermoanaerobacter>",0,0,0,0
,uncultured Thermoanaerobacter sp.,0,0,0,0
,Thermoanaerobacter ethanolicus,0,0,0,0
,Thermoanaerobacter italicus,0,0,0,0
,Thermoanaerobacter kivui,0,0,0,0
,Thermoanaerobacter mathranii,0,0,0,0
,Thermoanaerobacter wiegelii,0,0,0,0
,Thermoanaerobacterales Family III. Incertae Sedis,3,3,0,7
,Caldicellulosiruptor,16,22,30,18
,Caldicellulosiruptor bescii,0,0,0,0
,Caldicellulosiruptor changbaiensis,0,0,0,0
,Caldicellulosiruptor hydrothermalis,0,0,5,0
,Caldicellulosiruptor kronotskyensis,0,0,0,0
,Caldicellulosiruptor obsidiansis,0,0,11,0
,Caldicellulosiruptor owensensis,0,0,5,0
,Caldicellulosiruptor saccharolyticus,0,0,5,0
,Thermoanaerobacterium,5,6,6,3
,Thermoanaerobacterium saccharolyticum,0,0,15,0
,Thermoanaerobacterium thermosaccharolyticum,0,11,6,5
,Thermoanaerobacterium xylanolyticum,0,0,5,0
,Thermosediminibacter,0,0,0,0
,Thermosediminibacter oceani,10,6,13,6
,Thermoanaerobacterales Family IV. Incertae Sedis,0,0,0,0
,Mahella,0,0,0,0
,Mahella australiensis,0,0,16,0
,Thermodesulfobiaceae,0,1,4,0
,Thermodesulfobium,0,0,0,0
,Thermodesulfobium narugense,0,5,10,0
,"environmental samples <firmicutes,phylum Firmicutes>",0,0,0,0
,uncultured Firmicutes bacterium,21,0,18,0
,uncultured low G+C Gram-positive bacterium,0,0,0,0
,Erysipelotrichia,0,0,0,0
,Erysipelotrichales,0,0,0,0
,Erysipelotrichaceae,5,0,17,0
,Erysipelatoclostridium,0,0,0,0
,[Clostridium] innocuum,0,0,0,0
,Erysipelothrix,0,0,0,0
,"environmental samples <firmicutes,genus Erysipelothrix>",0,0,0,0
,uncultured Erysipelothrix sp.,0,0,0,0
,Erysipelothrix larvae,0,0,0,0
,Erysipelothrix rhusiopathiae,0,0,0,0
,Faecalitalea,0,0,0,0
,Faecalitalea cylindroides,0,0,0,0
,Turicibacter,0,0,0,0
,"environmental samples <firmicutes,genus Turicibacter>",0,0,0,0
,uncultured Turicibacter sp.,0,0,7,0
,Negativicutes,0,0,0,0
,Acidaminococcales,0,0,0,0
,Acidaminococcaceae,3,3,5,0
,Acidaminococcus,6,4,1,0
,Acidaminococcus fermentans,12,8,11,0
,Acidaminococcus intestini,0,0,7,0
,Phascolarctobacterium,0,0,0,0
,Selenomonadales,3,3,3,9
,Selenomonadaceae,0,0,0,0
,Megamonas,0,0,0,0
,Megamonas hypermegale,0,5,6,0
,Selenomonas,145,26,24,12
,Selenomonas ruminantium,9,0,18,0
,Selenomonas sputigena,186,7,26,11
,unclassified Selenomonas,0,0,0,0
,Selenomonas sp. oral taxon 126,84,0,6,0
,Selenomonas sp. oral taxon 136,46,0,5,0
,Selenomonas sp. oral taxon 478,37,0,0,0
,Sporomusaceae,0,0,0,0
,Pelosinus,14,14,9,11
,Pelosinus fermentans,33,143,48,63
,unclassified Pelosinus,0,0,0,0
,Pelosinus sp. UFO1,26,21,12,31
,Sporomusa,1,1,0,0
,Sporomusa termitida,20,9,30,0
,Veillonellales,0,0,0,0
,Veillonellaceae,13,12,20,26
,Dialister,0,0,0,0
,Dialister pneumosintes,11,0,0,0
,"environmental samples <firmicutes,family Veillonellaceae>",0,0,0,0
,uncultured Veillonellaceae bacterium,0,0,0,0
,Megasphaera,0,0,0,0
,Megasphaera elsdenii,22,18,36,7
,Veillonella,83,5,0,5
,Veillonella atypica,57,0,0,0
,Veillonella dispar,31,0,0,0
,Veillonella parvula,497,0,0,0
,Veillonella rodentium,11,0,0,0
,Tissierellia,0,0,0,0
,Tissierellales,0,0,0,0
,Gottschalkiaceae,0,0,0,0
,Gottschalkia,0,0,0,0
,Gottschalkia acidurici,0,0,0,0
,Peptoniphilaceae,7,12,1,6
,Anaerococcus,0,0,0,0
,Anaerococcus prevotii,0,0,0,0
,Finegoldia,0,0,0,0
,Finegoldia magna,0,0,0,0
,Parvimonas,0,0,0,0
,Parvimonas micra,27,0,5,0
,Peptoniphilus,13,5,0,0
,Peptoniphilus harei,0,0,7,0
,Peptoniphilus ivorii,0,0,7,0
,Tissierellaceae,0,0,0,0
,[Clostridium] ultunense,0,0,7,0
,Gudongella,0,0,0,0
,Gudongella oleilytica,0,0,13,0
,unclassified Firmicutes sensu stricto,0,0,0,0
,endosymbiont 'TC1' of Trimyema compressum,0,0,6,0
,Tenericutes,0,0,0,0
,Candidatus Izimaplasma,0,0,0,0
,unclassified Candidatus Izimaplasma,0,0,0,0
,Candidatus Izimaplasma sp. HR1,0,0,0,0
,Mollicutes,10,10,8,7
,Acholeplasmatales,0,0,0,0
,Acholeplasmataceae,0,0,0,4
,Acholeplasma,0,9,21,0
,Acholeplasma axanthum,0,0,0,0
,Acholeplasma brassicae,0,0,0,0
,Acholeplasma hippikon,0,0,0,0
,Acholeplasma laidlawii,0,0,0,0
,Acholeplasma oculi,0,0,0,0
,Acholeplasma palmae,0,0,0,0
,Candidatus Phytoplasma,0,6,18,6
,16SrXII (Stolbur group),0,0,0,0
,Candidatus Phytoplasma australiense,0,0,0,0
,Candidatus Phytoplasma asteris,0,0,0,0
,Aster yellows witches'-broom phytoplasma,0,0,0,0
,Entomoplasmatales,11,4,6,5
,Entomoplasmataceae,0,0,0,0
,Entomoplasma,0,0,0,0
,Entomoplasma freundtii,0,0,0,0
,Entomoplasma luminosum,0,0,0,0
,Entomoplasma melaleucae,0,0,0,0
,Entomoplasma somnilux,0,0,0,0
,Mesoplasma,0,0,0,0
,Mesoplasma chauliocola,0,0,0,0
,Mesoplasma florum,0,0,0,0
,Mesoplasma lactucae,0,0,0,0
,Mesoplasma syrphidae,0,0,0,0
,Spiroplasmataceae,0,0,0,0
,Spiroplasma,0,13,27,8
,Spiroplasma chrysopicola,0,0,0,0
,Spiroplasma clarkii,0,0,0,0
,Spiroplasma diminutum,0,0,0,0
,Spiroplasma gladiatoris,0,0,0,0
,Spiroplasma helicoides,0,0,0,0
,Spiroplasma syrphidicola,0,0,0,0
,Spiroplasma taiwanense,0,0,0,0
,Mycoplasmatales,0,0,0,0
,Mycoplasmataceae,0,4,7,0
,Candidatus Hepatoplasma,0,0,0,0
,Candidatus Hepatoplasma crinochetorum,0,0,0,0
,Mycoplasma,45,46,73,37
,Candidatus Mycoplasma girerdii,0,0,0,0
,Candidatus Mycoplasma haemolamae,0,0,0,0
,Mycoplasma anserisalpingitidis,0,0,0,0
,Mycoplasma arginini,0,0,0,0
,Mycoplasma bovis,0,0,0,0
,Mycoplasma californicum,0,0,0,0
,Mycoplasma canadense,0,0,0,0
,Mycoplasma cloacale,0,0,0,0
,Mycoplasma columbinum,0,0,0,0
,Mycoplasma columborale,0,0,0,0
,Mycoplasma conjunctivae,0,0,0,0
,Mycoplasma crocodyli,0,0,0,0
,Mycoplasma gallopavonis,0,0,0,0
,Mycoplasma haemocanis,0,0,0,0
,Mycoplasma hominis,0,0,0,0
,Mycoplasma hyopneumoniae,0,0,0,0
,Mycoplasma maculosum,0,0,0,0
,Mycoplasma mycoides group,0,0,0,0
,Mycoplasma mycoides,0,0,0,0
,Mycoplasma neurolyticum,0,0,0,0
,Mycoplasma penetrans,0,0,0,0
,Mycoplasma phocidae,0,0,0,0
,Mycoplasma putrefaciens,0,0,0,0
,Mycoplasma suis,0,0,0,0
,Mycoplasma synoviae,0,0,0,0
,Ureaplasma,0,0,0,0
,Ureaplasma diversum,0,0,0,0
,unclassified Terrabacteria group,0,0,0,0
,Thermobaculum,0,0,0,0
,Thermobaculum terrenum,18,14,61,15
,Thermodesulfobacteria <phylum>,2,0,0,0
,Thermodesulfobacteria,0,0,0,0
,Thermodesulfobacteriales,0,0,0,0
,Thermodesulfobacteriaceae,13,10,1,0
,Thermodesulfatator,0,0,0,0
,Thermodesulfatator indicus,10,14,33,0
,Thermodesulfobacterium,0,0,8,0
,Thermodesulfobacterium commune,0,0,9,0
,Thermodesulfobacterium geofontis,0,0,6,0
,Thermotogae <phylum>,0,0,0,0
,Thermotogae,0,0,0,0
,Kosmotogales,0,0,0,0
,Kosmotogaceae,0,0,0,0
,Kosmotoga,0,5,9,0
,Kosmotoga olearia,0,0,5,0
,Kosmotoga pacifica,0,0,0,0
,Mesotoga,2,3,1,0
,Mesotoga infera,7,0,10,0
,Mesotoga prima,0,5,12,0
,Petrotogales,0,0,0,0
,Petrotogaceae,0,0,0,0
,Defluviitoga,0,0,0,0
,Defluviitoga tunisiensis,0,0,0,5
,Marinitoga,0,0,0,0
,Marinitoga piezophila,0,6,11,0
,Petrotoga,0,0,0,0
,Petrotoga mobilis,0,0,14,0
,Thermotogales,1,1,8,3
,Fervidobacteriaceae,0,0,0,0
,Fervidobacterium,5,0,15,0
,Fervidobacterium changbaicum,0,0,0,0
,Fervidobacterium nodosum,0,0,0,0
,Fervidobacterium pennivorans,0,0,0,0
,Thermosipho,0,3,5,1
,Thermosipho africanus,0,5,5,5
,Thermosipho melanesiensis,0,0,0,0
,Thermotogaceae,18,18,24,25
,Pseudothermotoga,0,0,0,0
,Pseudothermotoga hypogea,0,0,0,0
,Pseudothermotoga thermarum,0,0,0,0
,Thermotoga,25,30,64,17
,Thermotoga caldifontis,0,0,7,0
,Thermotoga neapolitana,0,0,0,0
,Thermotoga profunda,0,0,6,0
,unclassified Thermotoga,0,0,0,0
,Thermotoga sp. Cell2,0,0,0,0
,Thermotoga sp. RQ7,0,0,0,0
,unclassified Bacteria,20,24,11,13
,bacterium endosymbiont of Trichobius sp. 3,0,0,0,0
,bacterium symbiont of Plakortis simplex pPS11G3,0,0,0,0
,bacterium symbiont of Theonella swinhoei pTSMAC1,0,0,0,0
,endosymbiont of Oligobrachia haakonmosbiensis,0,0,0,0
,Archaea,40,62,174,32
,"environmental samples <archaea,superkingdom Archaea>",7,4,19,2
,uncultured archaeon,375,566,1715,247
,uncultured archaeon W4-93a,0,0,0,0
,uncultured archaeon W5-61a,0,0,0,0
,Euryarchaeota,23,46,121,23
,Archaeoglobi,0,0,0,0
,Archaeoglobales,0,0,0,0
,Archaeoglobaceae,11,8,5,5
,Archaeoglobus,0,3,10,0
,Archaeoglobus fulgidus,0,6,6,0
,Archaeoglobus profundus,0,0,0,0
,Archaeoglobus sulfaticallidus,0,5,12,0
,Archaeoglobus veneficus,0,0,12,0
,Ferroglobus,0,0,0,0
,Ferroglobus placidus,0,0,5,0
,Geoglobus,0,0,4,0
,Geoglobus acetivorans,0,0,5,0
,Geoglobus ahangari,5,0,16,0
,Diaforarchaea group,0,0,0,0
,DHVE2 group,0,0,0,0
,Aciduliprofundum,0,2,7,0
,Aciduliprofundum boonei,0,0,0,0
,unclassified Aciduliprofundum,0,0,0,0
,Aciduliprofundum sp. MAR08-339,0,5,0,0
,Thermoplasmata,7,14,17,5
,"environmental samples <euryarchaeotes,class Thermoplasmata>",0,0,0,0
,uncultured Thermoplasmata archaeon,0,0,0,0
,Methanomassiliicoccales,0,0,3,0
,Candidatus Methanomethylophilaceae,0,0,0,0
,Candidatus Methanomethylophilus,0,0,0,0
,Candidatus Methanomethylophilus alvus,0,5,28,5
,Methanomassiliicoccaceae,0,3,1,0
,Candidatus Methanoplasma,0,0,0,0
,Candidatus Methanoplasma termitum,0,0,12,0
,Thermoplasmatales,12,17,14,12
,"environmental samples <euryarchaeotes,order Thermoplasmatales>",5,0,4,0
,uncultured Thermoplasmatales archaeon,0,0,0,0
,Ferroplasmaceae,0,0,0,0
,Ferroplasma,0,0,0,0
,Picrophilaceae,0,0,0,0
,Picrophilus,0,0,0,0
,Picrophilus torridus,0,0,6,0
,Thermoplasmataceae,0,0,0,0
,Thermoplasma,0,5,0,0
,Thermoplasma acidophilum,0,0,0,0
,Thermoplasma volcanium,0,0,0,0
,Thermoplasmatales incertae sedis,0,0,1,0
,unclassified Thermoplasmatales,0,0,0,0
,Thermoplasmatales archaeon BRNA1,0,0,16,0
,unclassified Thermoplasmata,0,0,0,0
,methanogenic archaeon ISO4-H5,0,0,18,5
,"environmental samples <euryarchaeotes,phylum Euryarchaeota>",40,16,49,21
,uncultured euryarchaeote,32,28,109,9
,uncultured euryarchaeote Alv-FOS5,0,0,0,0
,uncultured euryarchaeote VAL112,0,0,0,0
,uncultured marine group II/III euryarchaeote AD1000_24_C10,0,0,0,0
,uncultured marine group II/III euryarchaeote KM3_188_A01,0,0,0,0
,uncultured marine group II/III euryarchaeote KM3_203_F09,0,0,5,0
,uncultured methanogenic archaeon,0,5,18,0
,Euryarchaeota incertae sedis,0,1,11,0
,Methanomada group,0,0,0,0
,Methanobacteria,0,0,0,0
,Methanobacteriales,0,1,7,0
,Methanobacteriaceae,10,10,19,8
,Methanobacterium,6,23,35,13
,Methanobacterium congolense,0,5,7,0
,Methanobacterium formicicum,0,0,5,0
,Methanobacterium lacus,0,0,12,6
,Methanobacterium paludis,0,7,14,6
,Methanobacterium subterraneum,0,0,0,0
,unclassified Methanobacterium,0,0,0,0
,Methanobacterium sp. MB1,0,0,0,0
,Methanobrevibacter,0,23,27,0
,Methanobrevibacter millerae,0,16,28,0
,Methanobrevibacter olleyae,0,7,0,0
,Methanobrevibacter ruminantium,0,9,5,0
,Methanobrevibacter smithii,0,0,0,0
,unclassified Methanobrevibacter,0,0,0,0
,Methanobrevibacter sp. AbM4,0,0,0,0
,Methanobrevibacter sp. YE315,0,28,17,0
,Methanothermobacter,0,0,25,0
,Methanothermobacter marburgensis,0,0,0,0
,Methanothermobacter thermautotrophicus,0,0,0,0
,Methanothermobacter wolfeii,0,0,6,0
,unclassified Methanothermobacter,0,0,0,0
,Methanothermobacter sp. CaT2,0,0,0,0
,Methanothermaceae,0,0,0,0
,Methanothermus,0,0,0,0
,Methanothermus fervidus,0,0,0,0
,Methanococci,0,0,0,0
,Methanococcales,10,9,5,1
,Methanocaldococcaceae,0,0,2,0
,Methanocaldococcus,0,0,13,7
,Methanocaldococcus bathoardescens,0,0,0,0
,Methanocaldococcus fervens,0,0,0,0
,Methanocaldococcus infernus,0,0,0,0
,Methanocaldococcus jannaschii,0,0,0,0
,Methanocaldococcus vulcanius,0,0,0,0
,Methanotorris,0,0,0,0
,Methanotorris igneus,0,0,0,0
,Methanococcaceae,0,2,1,5
,Methanococcus,0,4,12,8
,Methanococcus aeolicus,0,0,0,0
,Methanococcus maripaludis,0,8,20,0
,Methanococcus vannielii,0,0,0,0
,Methanococcus voltae,0,0,0,0
,Methanothermococcus,0,0,1,0
,Methanothermococcus okinawensis,0,0,5,0
,Methanopyri,0,0,0,0
,Methanopyrales,0,0,0,0
,Methanopyraceae,0,0,0,0
,Methanopyrus,0,0,0,0
,Methanopyrus kandleri,0,0,11,0
,Stenosarchaea group,0,0,0,0
,Halobacteria,0,0,0,0
,Halobacteriales,1,1,1,0
,Haloarculaceae,0,0,0,0
,Halapricum,0,0,0,0
,Halapricum salinum,6,0,8,0
,Haloarcula,15,10,16,6
,Haloarcula japonica,0,0,0,0
,Haloarcula marismortui,0,0,0,0
,unclassified Haloarcula,0,0,0,0
,Haloarcula sp. CBA1115,0,0,0,0
,Halomicrobium,0,0,0,0
,Halomicrobium mukohataei,18,5,5,5
,Halorhabdus,13,2,5,4
,Halorhabdus tiamatea,7,0,7,0
,Halorhabdus utahensis,0,8,14,5
,Natronomonas,6,5,0,0
,Natronomonas moolapensis,9,0,0,0
,Natronomonas pharaonis,7,0,0,0
,Halobacteriaceae,156,104,158,127
,Halalkalicoccus,0,0,0,0
,Halalkalicoccus jeotgali,12,5,10,0
,Halanaeroarchaeum,0,0,0,0
,Halanaeroarchaeum sulfurireducens,6,0,5,0
,Halobacterium,0,0,15,0
,Halobacterium salinarum,14,0,0,5
,unclassified Halobacterium,0,0,0,0
,Halobacterium sp. DL1,17,0,0,8
,unclassified Halobacteriaceae,0,5,6,0
,Halococcaceae,0,0,0,0
,Halococcus,0,0,0,0
,unclassified Halococcus,0,0,0,0
,Halococcus sp. HSt 2.0,0,0,0,0
,Haloferacales,0,0,0,0
,Haloferacaceae,0,0,0,0
,Halobellus,0,0,0,0
,Halobellus limi,10,0,5,0
,Haloferax,19,13,15,13
,Haloferax gibbonsii,0,0,5,0
,Haloferax mediterranei,5,0,0,5
,Haloferax volcanii,10,0,5,0
,Halogeometricum,0,0,0,0
,Halogeometricum borinquense,0,0,0,0
,Haloplanus,26,5,20,8
,Haloplanus aerogenes,14,6,0,11
,unclassified Haloplanus,0,0,0,0
,Haloplanus sp. CBA1112,0,0,0,0
,Haloquadratum,0,0,0,0
,Haloquadratum walsbyi,0,0,0,0
,Halorubraceae,0,0,0,0
,Halohasta,0,0,0,0
,Halohasta litchfieldiae,0,0,0,0
,Halopenitus,0,0,0,0
,Halopenitus persicus,15,0,7,0
,Halorubrum,15,8,25,21
,Halorubrum ezzemoulense,10,0,0,0
,Halorubrum lacusprofundi,7,0,0,7
,Halorubrum trapanicum,6,13,0,0
,unclassified Halorubrum,0,0,0,0
,Halorubrum sp. PV6,10,0,0,0
,Salinigranum,0,0,0,0
,Salinigranum rubrum,22,0,5,0
,unclassified Haloferacales,0,0,0,0
,halophilic archaeon DL31,0,0,5,0
,Natrialbales,0,0,0,0
,Natrialbaceae,0,0,0,0
,Halobiforma,0,0,0,0
,Halobiforma lacisalsi,22,6,20,11
,Halopiger,0,0,0,0
,Halopiger xanaduensis,10,0,0,6
,Halostagnicola,0,0,0,0
,Halostagnicola larsenii,21,0,5,0
,Haloterrigena,8,10,8,7
,Haloterrigena daqingensis,5,0,5,0
,Haloterrigena jeotgali,5,0,0,0
,Haloterrigena turkmenica,10,5,10,0
,Halovivax,0,0,0,0
,Halovivax ruber,0,0,0,5
,Natrialba,0,0,0,0
,Natrialba magadii,8,0,6,0
,Natrinema,15,15,18,6
,Natrinema pallidum,0,0,0,0
,Natrinema pellirubrum,0,0,0,0
,Natrinema versiforme,7,0,0,0
,unclassified Natrinema,0,0,0,0
,Natrinema sp. J7-2,0,0,0,0
,Natronobacterium,0,0,0,0
,Natronobacterium gregoryi,7,0,0,5
,Natronococcus,0,1,0,0
,Natronococcus occultus,6,5,8,0
,Natronolimnobius,0,0,0,0
,Natronolimnobius aegyptiacus,0,5,0,5
,Natronorubrum,0,0,0,0
,Natronorubrum bangense,0,0,0,0
